project_id,project_name,methodologyorprotocol,fully_harmonized_methodologyorprotocol,region,voluntary_registry,type_from_registry,project_developer,arborwa_project,type,rule-based_type_mapping_first
GS11439,Alternate Wetting and Drying Technology for Climate Compatible Rice Cultivation in Nepal plains ,CDM METHODOLOGY - AMS-III.AU “METHANE EMISSION REDUCTION BY ADJUSTED WATER MANAGEMENT PRACTICE IN RICE CULTIVATION,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation, ,GOLD,Other,Value Network Venture Advisory Services Pte. Ltd.,No,Rice Emission Reductions,Rice Emission Reductions
ACR307,Donner Property,ARB Compliance Offset Protocol: U.S. Forest Projects,ARB Compliance Offset Protocol: U.S. Forest Projects, ,ACR,Forest Carbon,Era Ecosystem Services,No,Improved Forest Management, 
ACR777,RHI HFC Reclaim 2021,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants", ,ACR,Industrial Process Emissions,"Anew Environmental, LLC",No,HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
VCS1347,KSAIL Bagasse Power Project,ACM0006,ACM0006 Electricity and heat generation from biomass,Africa,VCS,Energy industries (renewable/non-renewable sources),Viability Incentives,No,Biomass,Biomass
GS6108,Improved Cookstoves Project Activity in Honduras Vida Mejor con Ecofogones de Alto Rendimiento CPA No 002,Not provided,Not provided, ,GOLD,Energy Efficiency - Domestic,Envirofit International Ltd.,No,Cookstoves, 
ACR427,The Nature Conservancy - Upper St. John Forest IFM Project,ARB Compliance Offset Protocol: U.S. Forest Projects,ARB Compliance Offset Protocol: U.S. Forest Projects, ,ACR,Forest Carbon,The Nature Conservancy,Compliance,Improved Forest Management, 
VCS2828,Improved Cooking Stove Programme in Burundi,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Africa,VCS,Energy demand,POWA S.A,No,Cookstoves, 
VCS3820,"Distribution of Improved Cookstove in Quang Nam Province, Vietnam",VMR0006,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,Asia,VCS,Energy demand,Green Impact Limited Company,No,Cookstoves, 
GS10459,Grid Connected Wind Power Project In Maharashtra India By Bhilwara (GS3705 CER to VER Conversion),ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Wind,EKI Energy Services Limited,No,Wind,Wind
GS464,ADES Solar and efficient stoves in Madagascar,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Solar Thermal - Heat,myclimate Foundation,No,Cookstoves, 
VCS4334,"Biogas Project in Cuddalore, India",AMS-III.D.;AMS-III.AO.;AMS-III.AQ,AMS-III.D. Methane recovery in animal manure management systems;AMS-III.AO. Methane recovery through controlled anaerobic digestion;AMS-III.AQ. Introduction of Bio-CNG in transportation applications,Asia,VCS,Transport; Waste handling and disposal,Global Carbon Solutions,No,Biodigesters, 
ACR564,Tradewater HFC Reclamation,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants", ,ACR,Industrial Process Emissions,"Tradewater, LLC",No,HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
CAR1509,Bonos Comunitarios CO2-Candelaria II,CAR Mexico Forest Protocol,CAR Mexico Forest Protocol, ,CAR,Forestry - MX,SESISA,No,Improved Forest Management,Improved Forest Management
ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),Afforestation and Reforestation of Degraded Lands,ACR Afforestation and Reforestation of Degraded Lands, ,ACR,Forest Carbon,"GreenTrees, LLC",No,Afforestation/Reforestation, 
VCS1183,Xinjiang Jimunai CGN Phase I Wind Farm Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),"Xinjiang Jimunai CGN Wind Power Co., Ltd.",No,Wind,Wind
GS11131,Conversion of intensive agricultural systems to dynamic agroforestry systems for sustainable cocoa production in Ecuador ,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,GS Methodology for Afforestation/Reforestation GHG Emissions Reduction and Sequestration, ,GOLD,A/R,South Pole Carbon Asset Management Ltd.,No,Afforestation/Reforestation,Afforestation/Reforestation
GS527,Guohua Tongliao Kezuo Zhongqi Phase II 49.5 MW Wind Farm Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Wind,ClimateCare Limited,No,Wind,Wind
GS11924,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 24,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass, ,GOLD,Energy Efficiency - Domestic,Hestian Innovation,No,Cookstoves, 
ACR764,Foam Blowing Agent Project 003G,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,ACR Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use, ,ACR,Industrial Process Emissions,297,No,HFC Replacement in Foam Production,HFC Replacement in Foam Production
GS3405,Los Santos Wind Power Project,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation, ,GOLD,Wind,Carbonbay GmbH & Co. KG,No,Wind,Wind
GS11247,Fair Climate Programme for Sustainable Household Energy (PoA) - Fair Climate Programme: Project Exhale - Maharashtra India (VPA 4),GS MS Simplified Methodology for Efficient Cookstoves,GS Simplified Methodology for Clean and Efficient Cookstoves, ,GOLD,Energy Efficiency - Domestic,FairClimateFund,No,Cookstoves,Cookstoves
CAR639,"El Dorado Nitrogen, LP - Nitrous Oxide Abatement Project",CAR U.S. Nitric Acid Production Protocol,CAR U.S. Nitric Acid Production Protocol, ,CAR,Nitric Acid N2O- Secondary Catalyst,"LSB Industries, Inc.",No,N2O Destruction in Nitric Acid Production,N2O Destruction in Nitric Acid Production
VCS3006,Taiqian County MSW Landfill Site LFG Comprehensive Utilization Project,AMS-I.D.;AMS-III.G.,AMS-I.D. Grid connected renewable electricity generation;AMS-III.G. Landfill methane recovery,Asia,VCS,Energy industries (renewable/non-renewable sources); Waste handling and disposal,"Henan BCCY Environmental Energy CO.,LTD.",No,Landfill Methane,Landfill Methane
GS11532,Up Energy Improved Cookstoves Programme Uganda – CPA No 043 supported by Republic of Korea,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass, ,GOLD,Energy Efficiency - Domestic,UpEnergy Group,No,Cookstoves, 
VCS584,2.5 MW Rice husk based cogeneration plant at Hanuman Agro Industries Limited,AMS-I.C.,AMS-I.C. Thermal energy production with or without electricity,Asia,VCS,Energy industries (renewable/non-renewable sources),Hanuman Agro Industries Ltd.,No,Biomass, 
VCS2591,Yongkang huachuan MSW landfill site LFG comprehensive utilization project,AMS-I.D.;AMS-III.G.,AMS-I.D. Grid connected renewable electricity generation;AMS-III.G. Landfill methane recovery,Asia,VCS,Energy industries (renewable/non-renewable sources); Waste handling and disposal,"Henan BCCY Environmental Energy CO.,LTD.",No,Landfill Methane,Landfill Methane
VCS257,42.5 MW Wind Power Project by VRL Logistics Ltd in Karnataka State (India),ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),M/s. VRL Logistics Limited,No,Wind,Wind
VCS4841,Ana Primavesi – Sustainable Farming and Restoration Program,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,Latin America,VCS,Agriculture Forestry and Other Land Use,Ubá Sustainability Institute,No,Afforestation/Reforestation,Afforestation/Reforestation
GS4531,Wind Power Project by Markdata Green Energy (EKIESL-CDM.January-15-01),ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Wind,EKI Energy Services Limited,No,Wind,Wind
VCS2732,Project: 0545 Durban Landfill-gas-to-electricity project – Mariannhill and La Mercy Landfills,ACM0001,ACM0001 Flaring or use of landfill gas,Africa,VCS,Waste handling and disposal,eThekweni municipality cleansing & solid waste,No,Landfill Methane,Landfill Methane
ACR265,Green Assets - Lukens Avoided Conversion Project,ARB Compliance Offset Protocol: U.S. Forest Projects,ARB Compliance Offset Protocol: U.S. Forest Projects, ,ACR,Forest Carbon,169,Compliance,Avoided Forest Conversion, 
GS7541,GS5047 VPA45 African Improved Cookstoves and Clean Water Programme: Albertine Rift Wildlife Corridor Cook Stove Project II,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,Likano Project Development GmbH,No,Cookstoves, 
VCS1361,Reforestation Project in Qinghai Province 2012,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,Asia,VCS,Agriculture Forestry and Other Land Use,Multiple Proponents,No,Afforestation/Reforestation,Afforestation/Reforestation
GS7356,GS1290: Native Clean Water Central America: VPA (04) Honduras,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,NATIVE A PUBLIC BENEFIT CORPORATION,No,Clean Water, 
VCS635,Dak Rung Hydropower Project,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Asia,VCS,Energy industries (renewable/non-renewable sources),Viet Nguyen Construction Works Joint Stock Company,No,Hydropower,Hydropower
VCS392,Gansu Datang Yumen 49 MW Wind Power Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),"Gansu Datang Yumen Wind Power Co., Ltd.",No,Wind,Wind
GS11191,BioLite Improved Cook stoves Programme,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass, ,GOLD,Energy Efficiency - Domestic,Biolite Inc,No,Cookstoves, 
VCS2048,Kunming Shilin Grid-connected Solar Power Generation Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,VCS,Energy industries (renewable/non-renewable sources),"Huaneng Shilin Photovolt Energy Development Co.,Ltd.",No,Solar - Centralized, 
VCS3150,Zhenbaodao Adjusted Water Management in Rice Cultivation,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,Asia,VCS,Agriculture Forestry and Other Land Use,"Harbin Huanyu Agricultural Technology Co., Ltd.",No,Rice Emission Reductions,Rice Emission Reductions
GS610,Turguttepe 24 MW Wind Power Project Turkey,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Wind,EKI Energy Services Limited,No,Wind,Wind
CAR400,South Jordan Landfill Gas Destruction Project,CAR U.S. Landfill Protocol,CAR U.S. Landfill Protocol, ,CAR,Landfill Gas Capture/Combustion,"Anew Environmental, LLC",No,Landfill Methane,Landfill Methane
VCS3190,Sanglinz Water Management with Rice Cultivation,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,Asia,VCS,Agriculture Forestry and Other Land Use,Guangxi Meiluo Agricultural Science and Technology Co Ltd.,No,Rice Emission Reductions,Rice Emission Reductions
VCS553,Sebenoba 30 MW Wind Farm,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Middle East,VCS,Energy industries (renewable/non-renewable sources),DENIZ Elektrik Uretim Ltd,No,Wind,Wind
VCS2779,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-021,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Africa,VCS,Energy demand,Korea Carbon Management Ltd,No,Cookstoves, 
GS1298,Caruquia 9.76 MW hydroelectric project Pre-CDM VERs,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation, ,GOLD,"Small, Low - Impact Hydro",ALLCOT AG,No,Hydropower,Hydropower
ACR644,Willow Lake Abandoned Mine Methane Recovery Project,ARB Compliance Offset Protocol: Mine Methane Capture Projects,ARB Compliance Offset Protocol: Mine Methane Capture Projects, ,ACR,Coal Mine Methane,Keyrock Environment LLC,Compliance,Mine Methane Capture,Mine Methane Capture
VCS1429,Recovery of degraded areas with agroforestry systems in Colombia,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,Latin America,VCS,Agriculture Forestry and Other Land Use,Multiple Proponents,No,Afforestation/Reforestation,Afforestation/Reforestation
VCS825,"TIST Program in Uganda, VCS 002",AR-AMS0001,AR-AMS0001 Simplified baseline and monitoring methodologies for small-scale A/R CDM project activities implemented on grasslands or croplands with limited displacement of pre-project activities,Africa,VCS,Agriculture Forestry and Other Land Use,Clean Air Action Corporation,No,Afforestation/Reforestation,Afforestation/Reforestation
VCS2750,Saving Colombia's Cloud Forest,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,Latin America,VCS,Agriculture Forestry and Other Land Use,"Saving Nature, Inc.",No,Afforestation/Reforestation,Afforestation/Reforestation
VCS3209,Installation of high efficiency wood burning cookstoves in Tanzania 2,VMR0006,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,Africa,VCS,Energy demand,C-Quest Capital Stoves Asia Limited,No,Cookstoves, 
VCS2162,"2 x 3.5 MW Ullunkal Hydro Power Project in Kerala, India",AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation, ,VCS,Energy industries (renewable/non-renewable sources),Multiple Proponents,No,Hydropower,Hydropower
ACR734,Scott River Wildcat IFM Project,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,ACR Improved Forest Management (IFM) on Non-Federal U.S. Forestlands, ,ACR,Forest Carbon,"EFM Investments & Advisory, Inc.",No,Improved Forest Management,Improved Forest Management
GS725,Lake Turkana 310MW Wind Power Project,Not provided,Not provided, ,GOLD,Wind,Lake Turkana Wind Power,No,Wind,Wind
GS11519,Up Energy Improved Cookstoves Programme Uganda – CPA No 030 supported by Republic of Korea,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass, ,GOLD,Energy Efficiency - Domestic,UpEnergy Group,No,Cookstoves, 
GS5440,GS1247 VPA 115 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,CO2balance UK ltd,No,Community Boreholes, 
GS10457,Proyecto Mirador Enhanced Distribution of Improved Cookstoves in Latin America – Second VPA for Distribution of Dos por Tres Cookstoves in Guatemala,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,Proyecto Mirador,No,Cookstoves, 
CAR1642,Proyecto de Captura de Carbono Forestal Ejido San Ignacio de Arareco,CAR Mexico Forest Protocol,CAR Mexico Forest Protocol, ,CAR,Forestry - MX,BRET Consultores,No,Improved Forest Management,Improved Forest Management
GS4731,ZANBAL ,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,GS Methodology for Afforestation/Reforestation GHG Emissions Reduction and Sequestration, ,GOLD,A/R,Zanbal,No,Afforestation/Reforestation,Afforestation/Reforestation
GS11548,SUVIDHA’s Decentralized Energy Interventions for Rural Communities in India VPA – 2 (Assam),GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Biogas - Heat,Society for the Upliftment of Villagers and Development of Himalayan Areas (SUVIDHA),No,Bundled Energy Efficiency, 
VCS187,Maobaguan 24MW Hydropower Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,VCS,Energy industries (renewable/non-renewable sources),"Shaanxi Hanjiang Hydropower Development Co., Ltd",No,Hydropower,Hydropower
VCS2836,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – Africa – Solar Lamps & Efficient cook stoves – 10341 –CPA - 0002,AMS-II.G.;AMS-III.AR,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass;AMS-III.AR. Substituting fossil fuel based lighting with LED/CFL lighting systems,Africa,VCS,Energy demand; Energy industries (renewable/non-renewable sources),MicroEnergy Credits Corp,No,Bundled Energy Efficiency, 
VCS4322,Improved cropland management project in Luoping,VM0042,VM0042 Methodology for Improved Agricultural Land Management,Asia,VCS,Agriculture Forestry and Other Land Use,"Beijing AsiaInfo Big Data,Inc.",No,Sustainable Agriculture, 
GS12479,Diakolal Cookstove Project in Senegal by Removall - (REMSEN01),GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,Removall ,No,Cookstoves, 
VCS4079,Lamaja Forest Carbon Project,VM0034,VM0034 Canadian Forest Carbon Offset Methodology,North America,VCS,Agriculture Forestry and Other Land Use,Lamaja Forestry Holding Ltd,No,Improved Forest Management, 
VCS1142,Ticket Log Fleet Fuel Substitution,VM0019,VM0019 Fuel Switch from Gasoline to Ethanol in Flex-Fuel Vehicle Fleets,Latin America,VCS,Transport,Ticket Soluções HDFGT S.A,No,Fleet Efficiency,Fleet Efficiency
GS7079,72 MWac Kamuthi Renewable Energy Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Solar Thermal - Electricity,Infinite Environmental Solutions LLP,No,Solar - Centralized,Solar - Centralized
VCS3832,"Solar Powered Irrigation Services by Claro Energy, India",AMS-I.B.,AMS-I.B. Mechanical energy for the user with or without electrical energy,Asia,VCS,Energy industries (renewable/non-renewable sources),Multiple Proponents,No,Improved Irrigation Management, 
GS11882,CPA 059 – Charcoal Stoves in Kenya,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass, ,GOLD,Energy Efficiency - Domestic,Biolite Inc,No,Cookstoves, 
GS1302,GS1302 MicroScale Solar Photovoltaic Programme,AMS-I.A.,AMS-I.A. Electricity generation by the user, ,GOLD,Solar Thermal - Electricity,CO2balance UK ltd,No,Solar - Distributed,Solar - Distributed
GS6290,200 MW Wind Power Project in Tamil Nadu by Orange Sironj,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Wind,Orange Renewable Power Pvt Ltd,No,Wind,Wind
GS10963,Social and Climate Impact Programme,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,UpEnergy Group,No,Bundled Energy Efficiency, 
VCS3707,TVS Landfill Gas Power Plant,AMS-III.G.,AMS-III.G. Landfill methane recovery,Europe,VCS,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Bio Kütle Enerji Elektrik Üretim Sanayi ve Ticaret A.Ş.,No,Landfill Methane,Landfill Methane
VCS1438,"Germiyan Wind Power Project, Turkey",ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Middle East,VCS,Energy industries (renewable/non-renewable sources),Egenda Ege Enerji Uretim A.S,No,Wind,Wind
VCS1497,VCS Grouped Project for Renewable Power Generation by Essel Mining and Industries Limited,ACM0002;AMS-I.D.;AMS-I.F.,ACM0002 Grid-connected electricity generation from renewable sources;AMS-I.D. Grid connected renewable electricity generation;AMS-I.F. Renewable electricity generation for captive use and mini-grid,Asia,VCS,Energy industries (renewable/non-renewable sources),Multiple Proponents,No,RE Bundled, 
ACR433,Tradewater ODS 16,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks, ,ACR,Ozone Depleting Substances,"Tradewater, LLC",Compliance,Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
GS12019,Smokeless Energy efficient cookstoves distribution in Rural India-3,GS MS Simplified Methodology for Efficient Cookstoves,GS Simplified Methodology for Clean and Efficient Cookstoves, ,GOLD,Energy Efficiency - Domestic,GRENEITY INFOCOM SERVICE PRIVATE LIMITED,No,Cookstoves,Cookstoves
GS3596,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-082,AMS-I.C.,AMS-I.C. Thermal energy production with or without electricity, ,GOLD,Biogas - Heat,Chengdu Oasis Science & Technology Co Ltd,No,Biodigesters, 
GS1336,Komurcuoda MSW Mechanical and Biological Treatment (MBT) and Recycling Project,ACM0022,ACM0022 Alternative waste treatment processes, ,GOLD,Other,Hereko Ist 1 Atik Yon Nak Loj Elk Ure San Tic A.S.,No,Waste Recycling, 
ACR177,Monjolinho Energética S/A Hydropower Plant Project (Alzir dos Santos Antunes),ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,ACR,Renewable Energy,Statkraft Energias Renováveis S.A.,No,Hydropower,Hydropower
VCS1214,Vajrakarur Wind Power Project in Andhra Pradesh,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),Mytrah Vayu (Pennar) Private Limited,No,Wind,Wind
ACR974,Foam Blowing Agent Project 001-2023,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,ACR Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use, ,ACR,Industrial Process Emissions,297,No,HFC Replacement in Foam Production,HFC Replacement in Foam Production
VCS2703,Viet Nam Improved Cookstove Project by KCM – Improved Cookstove Project in Thanh Hoa Province – CPA 011,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Asia,VCS,Energy demand,Korea Carbon Management Ltd,No,Cookstoves, 
GS12043,14.90 MW Biomass-based power plant by Jasrasar Green Power Energy Pvt. Ltd. in Rajasthan India,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation, ,GOLD,Other,EKI Energy Services Limited,No,Biomass, 
VCS3403,Xinxing Water Management with Rice Cultivation,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,Asia,VCS,Agriculture Forestry and Other Land Use,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",No,Rice Emission Reductions,Rice Emission Reductions
ACR181,EOS ARB ODS 2013-6,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks, ,ACR,Ozone Depleting Substances,EOS Climate Inc,Compliance,Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
GS2510,Xe Namnoy 2 - Xe Katam 1 Hydropower project,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation, ,GOLD,"Small, Low - Impact Hydro",Swiss Carbon Assets Ltd.,No,Hydropower,Hydropower
GS11848,VPA 101  - GHG Emission Reduction through use of Bondhu Chula (Improved Cook Stoves) in Bangladesh,GS MS Simplified Methodology for Efficient Cookstoves,GS Simplified Methodology for Clean and Efficient Cookstoves, ,GOLD,Energy Efficiency - Domestic,Bangladesh Bondhu Foundation,No,Cookstoves,Cookstoves
ACR274,Green Diamond Resource Company Klamath West IFM,ARB Compliance Offset Protocol: U.S. Forest Projects,ARB Compliance Offset Protocol: U.S. Forest Projects, ,ACR,Forest Carbon,277,Compliance,Improved Forest Management, 
VCS3858,Kaizhou Water Management with Rice Cultivation,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,Asia,VCS,Agriculture Forestry and Other Land Use,"Chongqing Gengfang Agricultural Development Co., Ltd.",No,Rice Emission Reductions,Rice Emission Reductions
GS12511,GS10789 GS 10790 RVPA-34: Efficient and Clean Cooking for households in DRC,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,Burn Manufacturing Co.,No,Cookstoves, 
VCS749,Grid Connected Renewable Power Generation from Wind Mills by L.S Mills,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Asia,VCS,Energy industries (renewable/non-renewable sources),Multiple Proponents,No,Wind,Wind
GS2515,GS1205 Sustainable Energy for Development PoA VPA 4: Improved Cook Stove Project in Brazzaville, , , ,GOLD,Energy Efficiency - Domestic,Initiative Developpement,No,Cookstoves, 
VCS1698,"5 MW Sahu Hydro Electric Project for a grid connected system in Himachal Pradesh, India - CER Conversion",AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Asia,VCS,Energy industries (renewable/non-renewable sources),Credits transferred from approved GHG program,No,Hydropower,Hydropower
GS4288,Orb Energy Solar Program In India - VPA01,AMS-I.C.,AMS-I.C. Thermal energy production with or without electricity, ,GOLD,Solar Thermal - Electricity,Orb Energy Private Limited,No,Solar - Distributed, 
GS3027,Renewable biomass fired improved cook stoves programme for households in Burundi by BQS –CPA_BUJM01, , , ,GOLD,"Biomass, or Liquid Biofuel - Heat",BQS,No,Cookstoves,Biomass
VCS4083,Shanxi Jingle Afforestation Project,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,Asia,VCS,Agriculture Forestry and Other Land Use,Jingle County Sailing Carbon Sink Development Co. LTD,No,Afforestation/Reforestation,Afforestation/Reforestation
VCS1063,Clean energy generation from wind energy in the state of Rajasthan,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),Multiple Proponents,No,Wind,Wind
VCS2992,HG Afforestation Through High Quality Timber Over Degraded Grasslands,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,Latin America,VCS,Agriculture Forestry and Other Land Use,Pike Carbosur S.A.,No,Afforestation/Reforestation,Afforestation/Reforestation
VCS669,Wind Energy project by Ramco group in india,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),Multiple Proponents,No,Wind,Wind
VCS3010,Macaúbas Landfill Gas Project - CER Conversion,ACM0001,ACM0001 Flaring or use of landfill gas,Latin America,VCS,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Converted from other GHG program,No,Landfill Methane,Landfill Methane
GS11148,Energy Efficient Stoves Program - CPA 2,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass, ,GOLD,Energy Efficiency - Domestic,World Vision Australia,No,Cookstoves, 
GS1141,CFL Replacement Programme of Activities in South Africa,AMS-II.J.,AMS-II.J. Demand-side activities for efficient lighting technologies, ,GOLD,Energy Efficiency - Domestic,Eskom Holdings SOC Limited,No,Lighting, 
VCS4721,CTR IPATINGA LANDFILL GAS PROJECT,ACM0001,ACM0001 Flaring or use of landfill gas,Latin America,VCS,Waste handling and disposal,Vital Engenharia Ambiental S/A,No,Landfill Methane,Landfill Methane
VCS2387,Liugui Afforestation Project,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,Asia,VCS,Agriculture Forestry and Other Land Use,"Guangxi Baixin Agricultural Technology Co., Ltd.",No,Afforestation/Reforestation,Afforestation/Reforestation
CAR1013,Buckeye Forest Project,ARB Compliance Offset Protocol: U.S. Forest Projects,ARB Compliance Offset Protocol: U.S. Forest Projects, ,CAR,Improved Forest Management - ARB Compliance,The Conservation Fund,Compliance,Improved Forest Management,Improved Forest Management
VCS4424,Sichuan Muli County REDD Project,VM0007,VM0007 REDD+ Methodology Framework (REDD-MF),Asia,VCS,Agriculture Forestry and Other Land Use,Multiple Proponents,No,REDD+, 
VCS348,"6 MW Biomass based power project, Nellore District, Andhra Pradesh, India.",AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Asia,VCS,Energy industries (renewable/non-renewable sources),BOLLINENI CASTINGS AND STEEL LIMITED,No,Biomass, 
VCS1196,Gansu Yongdeng Longlin Hydro Power Project,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation, ,VCS,Energy industries (renewable/non-renewable sources),"Gansu Longlin Hydropower Development Co., Ltd",No,Hydropower,Hydropower
GS3267,GS4503 - Sustainable Safe Water Program-Tulip Filters in Tanzania VPA 1,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,South Pole Carbon Asset Management Ltd.,No,Clean Water, 
