project_id,project_name,voluntary_registry,voluntary_status,reduction_removal,project_type_from_the_registry,region,country,state,project_site_location,project_developer,arborwaproject,arb_project_type,version_string,arb_harmonized_methodology,car_harmonized_methodology,methodology_protocol,harmonized_methodology_protocol,fully_harmonized_methodology_protocol,rule_based_type_mapping_list,rule_based_type_mapping_first,vrod_v11_type
GS12391,Improved Cookstove and Safe Water Programme – Nigeria - VPA 75,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12392,Improved Cookstove and Safe Water Programme – Nigeria - VPA 76,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12393,Improved Cookstove and Safe Water Programme – Nigeria - VPA 77,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12394,Improved Cookstove and Safe Water Programme – Nigeria - VPA 78,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12395,Improved Cookstove and Safe Water Programme – Nigeria - VPA 79,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12396,Improved Cookstove and Safe Water Programme – Nigeria - VPA 80,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12397,Improved Cookstove and Safe Water Programme – Nigeria - VPA 81,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12398,Improved Cookstove and Safe Water Programme – Nigeria - VPA 82,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12399,Improved Cookstove and Safe Water Programme – Nigeria - VPA 83,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12400,Improved Cookstove and Safe Water Programme – Nigeria - VPA 84,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12401,Improved Cookstove and Safe Water Programme – Nigeria - VPA 85,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12402,Improved Cookstove and Safe Water Programme – Nigeria - VPA 86,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12403,Improved Cookstove and Safe Water Programme – Nigeria - VPA 87,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12404,Improved Cookstove and Safe Water Programme – Nigeria - VPA 88,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12405,Improved Cookstove and Safe Water Programme – Nigeria - VPA 89,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12406,Improved Cookstove and Safe Water Programme – Nigeria - VPA 90,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12407,Improved Cookstove and Safe Water Programme – Nigeria - VPA 91,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12408,Improved Cookstove and Safe Water Programme – Nigeria - VPA 92,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12409,Improved Cookstove and Safe Water Programme – Nigeria - VPA 93,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12410,Improved Cookstove and Safe Water Programme – Nigeria - VPA 94,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12411,Improved Cookstove and Safe Water Programme – Nigeria - VPA 95,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12412,Improved Cookstove and Safe Water Programme – Nigeria - VPA 96,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12413,Improved Cookstove and Safe Water Programme – Nigeria - VPA 97,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12414,Improved Cookstove and Safe Water Programme – Nigeria - VPA 98,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12415,Improved Cookstove and Safe Water Programme – Nigeria - VPA 99,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12416,Improved Cookstove and Safe Water Programme – Nigeria - VPA 100,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12417,Improved Cookstove and Safe Water Programme – Nigeria - VPA 101,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12418,Improved Cookstove and Safe Water Programme – Nigeria - VPA 102,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12419,Improved Cookstove and Safe Water Programme – Nigeria - VPA 103,GOLD,Listed,,Energy Efficiency - Domestic,,Nigeria,,,Impact Carbon,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12342,COMMUNITY CARBON SAFE WATER DRINKING PROGRAMME-VPA 20 ,GOLD,Gold Standard Certified Design,,Energy Efficiency - Domestic,,Uganda,,,UpEnergy Group,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12343,COMMUNITY CARBON SAFE WATER DRINKING PROGRAMME-VPA 21,GOLD,Gold Standard Certified Design,,Energy Efficiency - Domestic,,Uganda,,,UpEnergy Group,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12344,COMMUNITY CARBON SAFE WATER DRINKING PROGRAMME-VPA 22,GOLD,Gold Standard Certified Design,,Energy Efficiency - Domestic,,Uganda,,,UpEnergy Group,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12339,Girasol Solar Power Plant,GOLD,Listed,,Other,,Dominican Republic,,,ENERION RENEWABLES S.R.L. SEMPLIFICATA,No,,,,,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,ACM0002 Grid-connected electricity generation from renewable sources,[],,Solar - Centralized
GS12357,UpEnergy-Social and Climate Impact Programme- Cooking Devices VPA-23,GOLD,Gold Standard Certified Design,,Energy Efficiency - Domestic,,Malawi,,,UpEnergy Group,No,,v3.1,,,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,[],,Cookstoves
GS12358,UpEnergy-Social and Climate Impact Programme- Cooking Devices VPA-24,GOLD,Gold Standard Certified Design,,Energy Efficiency - Domestic,,Malawi,,,UpEnergy Group,No,,v3.1,,,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,[],,Cookstoves
GS12377,UpEnergy – Social and Climate Impact Programme-Cooking Devices VPA-25,GOLD,Gold Standard Certified Design,,Energy Efficiency - Domestic,,Zambia,,,UpEnergy Group,No,,v3.1,,,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,[],,Cookstoves
GS12379,Solar Power for Rural Villages in Madagascar,GOLD,Listed,,Solar Thermal - Electricity,,Madagascar,,,Tsanta Rabekoto,No,,,,,AMS-I.L.,AMS-I.L. Electrification of rural communities using renewable energy,AMS-I.L. Electrification of rural communities using renewable energy,[],,Solar - Distributed
GS12011,Solar cooking in Chad Touloum (VPA2),GOLD,Gold Standard Certified Design,,Solar Thermal - Heat,,Chad,,,FairClimateFund,No,,v1.1,,,GS MS Simplified Methodology for Efficient Cookstoves,GS Simplified Methodology for Clean and Efficient Cookstoves,GS Simplified Methodology for Clean and Efficient Cookstoves,"[(155, 'Cookstoves')]",Cookstoves,Cookstoves
GS12346,SMG Clean Cooking Program,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,SHRI MAA MARKETING PRIVATE LIMITED,No,,V4.0,,,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,[],,Cookstoves
GS12347,SMG Clean Cooking Program VPA01,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,SHRI MAA MARKETING PRIVATE LIMITED,No,,V4.0,,,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,[],,Cookstoves
GS12345,Maji Bora Multi-Country Small-Scale Safe Water Supply Programme of Activities (PoA),GOLD,Listed,,Energy Efficiency - Domestic,,Kenya,,,First Climate Markets AG,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12354,Safe Water Supply in Turkana County,GOLD,Listed,,Energy Efficiency - Domestic,,Kenya,,,First Climate Markets AG,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12242,Energo Trust,GOLD,Listed,,Wind,,Kazakhstan,,,EKI Energy Services Limited,No,,,,,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,ACM0002 Grid-connected electricity generation from renewable sources,"[(9, 'Wind')]",Wind,Wind
GS12230, Reducing 3000000 tons of CO2 emissions over a span of 15 years by increasing the efficiency of the exploitation and use of geothermal waters in Călimănești - Căciulata Vâlcea county Romania,GOLD,Listed,,Energy Efficiency - Commercial Sector,,Romania,,,Green Tech International SA,No,,,,,AMS-I.C.,AMS-I.C. Thermal energy production with or without electricity,AMS-I.C. Thermal energy production with or without electricity,"[(17, 'Geothermal')]",Geothermal,Geothermal
GS12373,GS2295 GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 027,GOLD,Listed,,Energy Efficiency - Domestic,,Myanmar,,,Soneva Foundation,No,,v1.,,,GS MS Simplified Methodology for Efficient Cookstoves,GS Simplified Methodology for Clean and Efficient Cookstoves,GS Simplified Methodology for Clean and Efficient Cookstoves,"[(155, 'Cookstoves')]",Cookstoves,Cookstoves
GS12210,Better Cooking for a better Health in Northern Cameroon ,GOLD,Listed,,Energy Efficiency - Domestic,,Cameroon,,,KIASI ENERGIES,No,,V4.0,,,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,[],,Cookstoves
GS12363,GS12362 VPA 01 Safe Water Drinking Programme in Maharashtra ,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,Abhijeet Gaan,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12362,RWS Safe Drinking Water Programme in India,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,Abhijeet Gaan,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12285,GS10789 VPA 52: Efficient and Clean Cooking for households in Somalia ,GOLD,Listed,,Energy Efficiency - Domestic,,Somalia,,,Global Cookstoves Limited,No,,v3.1,,,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,[],,Cookstoves
GS12133,Energy Interventions for Rural Communities in India VPA – 5 ( Supported by CBM India),GOLD,Listed,,Energy Efficiency - Domestic,,India,,,Society for the Upliftment of Villagers and Development of Himalayan Areas (SUVIDHA),No,,v1.,,,GS Methodology for Improved Cook stoves and Kitchen Regimes,GS Methodology for Improved Cookstoves and Kitchen Regimes,GS Methodology for Improved Cookstoves and Kitchen Regimes,[],,Cookstoves
GS11546,SUVDIHA's Decentralized Energy Interventions for Rural Communities in India,GOLD,Listed,,Biogas - Heat,,India,,,Society for the Upliftment of Villagers and Development of Himalayan Areas (SUVIDHA),No,,V4.0,,,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,[],,Cookstoves
GS12364,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA027,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,Greenway Grameen Infra Private Limited,No,,,,,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,[],,Cookstoves
GS12365,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA028,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,Greenway Grameen Infra Private Limited,No,,,,,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,[],,Cookstoves
GS12366,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA029,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,Greenway Grameen Infra Private Limited,No,,,,,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,[],,Cookstoves
GS12367,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA030,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,Greenway Grameen Infra Private Limited,No,,,,,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,[],,Cookstoves
GS12368,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA031,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,Greenway Grameen Infra Private Limited,No,,,,,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,[],,Cookstoves
GS12369,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA032,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,Greenway Grameen Infra Private Limited,No,,,,,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,[],,Cookstoves
GS12370,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA033,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,Greenway Grameen Infra Private Limited,No,,,,,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,[],,Cookstoves
GS12372,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA035,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,Greenway Grameen Infra Private Limited,No,,,,,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,[],,Cookstoves
GS12371,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA034,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,Greenway Grameen Infra Private Limited,No,,,,,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,[],,Cookstoves
GS12202,CIC Safe Drinking Water Program,GOLD,Listed,,Energy Efficiency - Domestic,,Bangladesh,,,CARBON IMPACT CAPITAL PTE. LTD.,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12356,VPA1: Water and Climate Action Bundelkhand India,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,CARBON IMPACT CAPITAL PTE. LTD.,No,,,,,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply,"[(153, 'Clean Water')]",Clean Water,Clean Water
GS12234,Kardianuts Biochar Production in Colombia,GOLD,Listed,,Other,,Colombia,,,First Climate (Switzerland) AG,No,,,,,Not provided,Not provided,Not provided,[],,Biochar
GS11714,CPA-MA-28-Madagascar Ethanol Stove Program,GOLD,Gold Standard Certified Design,,Energy Efficiency - Domestic,,Madagascar,,,GREEN DEVELOPMENT AS,No,,,,,AMS-I.E.,AMS-I.E. Switch from non-renewable biomass for thermal applications by the user,AMS-I.E. Switch from non-renewable biomass for thermal applications by the user,[],,Cookstoves
GS11540,Zone 3 Landfill Gas Project,GOLD,Listed,,Other,,Guatemala,,,Industrias De Biogas Sociedad Anonima,No,,,,,ACM0001,ACM0001 Flaring or use of landfill gas,ACM0001 Flaring or use of landfill gas,"[(160, 'Landfill Methane')]",Landfill Methane,Landfill Methane
GS12241,Borey Energo,GOLD,Listed,,Wind,,Kazakhstan,,,EKI Energy Services Limited,No,,,,,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,ACM0002 Grid-connected electricity generation from renewable sources,"[(9, 'Wind')]",Wind,Wind
GS12279,GS Microscale PoA: Integrated Domestic Energy Systems (IDES) for rural communities in India– RVPA 07,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,Value Network Venture Advisory Services Pte. Ltd.,No,,Version 3.0,,,"The Gold Standard Simplified Methodology for Clean and Efficient Cookstoves,",,"The Gold Standard Simplified Methodology for Clean and Efficient Cookstoves,",[],,Cookstoves
GS12278,GS Microscale PoA : Integrated Domestic Energy Systems (IDES) for rural communities in India–RVPA 06,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,Value Network Venture Advisory Services Pte. Ltd.,No,,Version 3.0,,,"The Gold Standard Simplified Methodology for Clean and Efficient Cookstoves,",,"The Gold Standard Simplified Methodology for Clean and Efficient Cookstoves,",[],,Cookstoves
GS12277,GS Microscale PoA: Integrated Domestic Energy Systems (IDES) for rural communities in India– RVPA 05,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,Value Network Venture Advisory Services Pte. Ltd.,No,,Version 3.0,,,"The Gold Standard Simplified Methodology for Clean and Efficient Cookstoves,",,"The Gold Standard Simplified Methodology for Clean and Efficient Cookstoves,",[],,Cookstoves
GS12204,Sistema.bio Global Carbon Program: Waste management clean energy and regenerative agriculture on family farms in Kenya,GOLD,Listed,,Biogas - Heat,,,,,SISTEMA.BIO INC,No,,,,,Methodology for animal waste management and biogas application,GS methodology for Manure Management Systems and Municipal Solid Waste,GS methodology for Manure Management Systems and Municipal Solid Waste,"[(187, 'Manure Methane Digester')]",Manure Methane Digester,Manure Methane Digester
GS12322,GS 12204 - VPA 1 Sistema.bio Global Carbon Program ,GOLD,Listed,,Biogas - Heat,,,,,Sistema.bio Inc.,No,,,,,Methodology for animal waste management and biogas application,GS methodology for Manure Management Systems and Municipal Solid Waste,GS methodology for Manure Management Systems and Municipal Solid Waste,"[(187, 'Manure Methane Digester')]",Manure Methane Digester,Manure Methane Digester
GS12078,GS12204 RVPA-1 Sistema.bio Global Carbon Program: Biodigesters in Kenya 2023-4,GOLD,Listed,,Biogas - Heat,,Kenya,,,Sistema.bio Inc.,No,,v1.,,,GS Baseline and Monitoring Methodology Biodigester,GS methodology For Animal Waste Managment And Biogas Application,GS methodology For Animal Waste Managment And Biogas Application,[],,Manure Methane Digester
GS12319,Project Sathya Improved Cookstoves and Livelihood,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,CARBON IMPACT CAPITAL PTE. LTD.,No,,V4.0,,,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,[],,Cookstoves
GS12082,PowerUP Smart Electric Stoves for Clean Air- VPA 9,GOLD,Listed,,Energy Efficiency - Domestic,,Tanzania United Republic of,,,PowerUp,No,,,,,Methodology for Metered & Measured Energy Cooking Devices,GS Methodology for Metered and Measured Energy Cooking Devices,GS Methodology for Metered and Measured Energy Cooking Devices,"[(159, 'Cookstoves')]",Cookstoves,Cookstoves
GS12293,Renew Sakhi Improved Cookstove - 2,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,RENEW POWER SYNERGY PRIVATE LIMITED,No,,V4.0,,,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,[],,Cookstoves
GS12292,Renew Sakhi Improved Cookstove,GOLD,Listed,,Energy Efficiency - Domestic,,India,,,RENEW POWER SYNERGY PRIVATE LIMITED,No,,V4.0,,,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,[],,Cookstoves
